ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,Trials I,#I,TDur,AvDur,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,#E,TDurE,AvDurE,I1,I2,I3,E1,E2,E3,I,E,IC,EC,F1 HATCH,F1 BOX,F2 HATCH,F2 BOX,F3 HATCH,F3 BOX,F#,Mated,Agg,Aggb,Unsuc Att,Ig F Att,No Att
01-A,1,1,A,15/11/2019,1,04/02/2020,14,18/02/2020,1,1,10,10,2,1,10,0,0,11,0,0,1,1,13,0,0,0,0,1,1,0,1,0,0,0,1,0,100,10,1,1,15/11/2019,1,15/11/2019,1,-,-,2,1,0,0,0,1,0
01-B,1,1,B,15/11/2019,2,04/02/2020,10,14/02/2020,1,1,12,12,2,0,0,1,10,10,1,12,0,0,17,0,0,0,0,1,10,3,0,1,0,1,0,0,10,100,1,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
01-C,1,1,C,15/11/2019,1,04/02/2020,10,14/02/2020,1,1,1,1,4,0,0,0,0,11,1,1,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
01-D,1,1,D,15/11/2019,1,11/02/2020,7,18/02/2020,0,0,0,0,4,0,0,0,0,10,0,0,1,12,13,0,0,0,0,1,12,4,0,0,0,0,1,0,0,10,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
02-A,1,2,A,15/11/2019,2,04/02/2020,10,14/02/2020,2,2,19,9.5,3,0,0,0,0,7,1,16,0,0,16,1,3,0,0,0,0,0,0,1,1,0,0,0,11,0,2,0,15/11/2019,1,15/11/2019,2,-,-,2,1,0,0,1,0,0
02-B,1,2,B,15/11/2019,2,04/02/2020,14,18/02/2020,0,0,0,0,3,0,0,0,0,8,0,0,0,0,18,0,0,1,10,1,10,3,0,0,0,0,0,1,0,1,0,1,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
02-C,1,2,C,15/11/2019,2,04/02/2020,10,14/02/2020,1,1,10,10,6,0,0,0,0,7,0,0,1,16,18,1,10,0,0,1,16,5,0,0,1,0,1,0,1,10,1,1,15/11/2019,1,15/11/2019,2,-,-,2,1,0,0,0,1,0
02-D,1,2,D,15/11/2019,1,11/02/2020,7,18/02/2020,0,0,0,0,6,0,0,0,0,8,0,0,0,0,16,0,0,1,3,1,3,1,0,0,0,0,0,1,0,1,0,1,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
03-A,1,3,A,15/11/2019,1,04/02/2020,10,14/02/2020,2,2,11,5.5,5,1,6,1,33,12,0,0,1,14,15,1,5,1,2,3,49,16,1,0,1,1,1,1,101,111,2,3,15/11/2019,1,15/11/2019,2,-,-,2,1,0,0,1,0,0
03-B,1,3,B,15/11/2019,2,04/02/2020,14,18/02/2020,2,2,42,21,5,1,33,1,6,9,1,9,2,33,14,0,0,0,0,3,39,13,1,1,0,1,1,0,110,110,2,2,15/11/2019,2,15/11/2019,1,-,-,2,1,0,0,0,1,0
03-C,1,3,C,13/12/2019,6,11/02/2020,7,18/02/2020,2,2,36,18,1,1,22,1,12,12,1,14,0,0,14,0,0,0,0,1,12,4,1,1,0,1,0,0,110,100,2,1,15/11/2019,2,15/11/2019,1,15/11/2019,1,0,0,0,0,1,1,1
03-D,1,3,D,15/11/2019,2,04/02/2020,14,18/02/2020,3,4,47,11.8,1,1,12,1,22,9,2,33,1,9,15,1,2,1,5,3,36,12,1,1,1,1,1,1,111,111,3,3,15/11/2019,2,15/11/2019,2,15/11/2019,1,0,0,1,1,0,1,1
04-A,2,4,A,15/11/2019,1,11/02/2020,14,25/02/2020,1,1,3,3,23,0,0,0,0,35,1,3,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,13/12/2019,6,13/12/2019,5,-,-,2,1,0,0,1,0,0
04-B,2,4,B,15/11/2019,1,11/02/2020,10,21/02/2020,1,2,40,20,23,0,0,0,0,42,2,40,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
04-C,2,4,C,13/12/2019,5,18/02/2020,7,25/02/2020,0,0,0,0,21,0,0,0,0,35,0,0,1,3,51,0,0,0,0,1,3,1,0,0,0,0,1,0,0,10,0,1,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
04-D,2,4,D,13/12/2020,6,18/02/2020,7,25/02/2020,0,0,0,0,21,0,0,0,0,42,0,0,2,40,43,0,0,0,0,2,40,13,0,0,0,0,1,0,0,10,0,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
05-A,2,5,A,15/11/2019,2,11/02/2020,10,21/02/2020,0,0,0,0,20,0,0,0,0,39,0,0,0,0,45,0,0,1,14,1,14,5,0,0,0,0,0,1,0,1,0,1,06/12/2019,4,-,-,-,-,1,1,0,0,0,0,0
05-B,2,5,B,15/11/2019,1,11/02/2020,10,21/02/2020,0,0,0,0,20,0,0,0,0,34,0,0,0,0,53,0,0,1,2,1,2,1,0,0,0,0,0,1,0,1,0,1,15/11/2019,1,15/11/2019,1,-,-,2,1,0,0,0,1,0
05-C,2,5,C,13/12/2019,6,18/02/2020,7,25/02/2020,1,1,2,2,27,0,0,0,0,39,0,0,0,0,53,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
05-D,2,5,D,13/12/2019,6,11/02/2020,14,25/02/2020,1,1,14,14,27,0,0,0,0,34,0,0,0,0,45,1,14,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
06-A,2,6,A,15/11/2019,2,18/02/2020,7,25/02/2020,1,1,5,5,22,1,5,0,0,37,0,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,1,0,15/11/2019,1,06/12/2019,3,-,-,2,1,1,1,0,0,0
06-B,2,6,B,15/11/2019,1,11/02/2020,14,25/02/2020,1,1,5,5,22,0,0,1,5,41,0,0,0,0,50,1,5,0,0,1,5,2,0,0,1,1,0,0,1,100,1,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
06-C,2,6,C,15/11/2019,1,11/02/2020,10,21/02/2020,0,0,0,0,29,0,0,0,0,37,0,0,0,0,50,0,0,1,5,1,5,2,0,0,0,0,0,1,0,1,0,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
06-D,2,6,D,15/11/2019,1,18/02/2020,7,25/02/2020,0,0,0,0,29,0,0,0,0,41,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13/12/2019,6,-,-,-,-,1,1,0,0,0,0,0
07-A,2,7,A,13/12/2020,6,18/02/2020,7,25/02/2020,0,0,0,0,30,0,0,1,19,38,0,0,1,4,46,0,0,1,25,3,48,16,0,0,0,1,1,1,0,111,0,3,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
07-B,2,7,B,15/11/2020,2,11/02/2020,14,25/02/2020,2,2,62,31,30,1,19,0,0,33,1,43,0,0,48,0,0,0,0,0,0,0,1,1,0,0,0,0,110,0,2,0,15/11/2019,1,15/11/2019,1,-,-,2,1,0,0,0,1,0
07-C,2,7,C,13/12/2019,5,11/02/2020,10,21/02/2020,2,3,50,16.7,24,2,46,0,0,38,1,4,0,0,48,0,0,0,0,0,0,0,1,1,0,0,0,0,110,0,2,0,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
07-D,2,7,D,15/11/2010,1,11/02/2020,10,21/02/2020,1,1,25,25,24,0,0,2,46,33,0,0,1,43,46,1,25,0,0,3,89,30,0,0,1,1,1,0,1,110,1,2,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
08-A,2,8,A,13/12/2019,5,18/02/2020,7,25/02/2020,1,1,24,24,28,1,24,0,0,31,0,0,0,0,52,0,0,1,1,1,1,0,1,0,0,0,0,1,100,1,1,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
08-B,2,8,B,15/11/2019,2,11/02/2020,10,21/02/2020,1,1,18,18,28,0,0,1,24,32,0,0,0,0,54,1,18,0,0,1,24,8,0,0,1,1,0,0,1,100,1,1,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
08-C,2,8,C,15/11/2019,2,11/02/2020,14,25/02/2020,1,1,6,6,25,1,6,0,0,31,0,0,0,0,54,0,0,1,18,1,18,6,1,0,0,0,0,1,100,1,1,1,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
08-D,2,8,D,15/11/2019,1,11/02/2020,14,25/02/2020,1,1,1,1,25,0,0,1,6,32,0,0,0,0,52,1,1,0,0,1,6,2,0,0,1,1,0,0,1,100,1,1,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
09-A,2,9,A,15/11/2019,1,18/02/2020,7,25/02/2020,1,1,20,20,19,0,0,0,0,40,1,20,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
