Focal,Interacting,Agg,Trial_ID,#I,Dur,Trial
01-A,01-B,1,2,1,10,1
01-A,01-C,0,11,0,0,2
01-A,01-D,0,13,0,0,3
01-B,01-A,0,2,0,0,1
01-B,01-D,1,10,1,12,2
01-B,01-C,0,17,0,0,3
01-C,01-D,0,4,0,0,1
01-C,01-A,1,11,1,1,2
01-C,01-B,0,17,0,0,3
01-D,01-C,0,4,0,0,1
01-D,01-B,0,10,0,0,2
01-D,01-A,0,13,0,0,3
02-A,02-B,0,3,0,0,1
02-A,02-C,1,7,1,16,2
02-A,02-D,1,16,1,3,3
02-B,02-A,0,3,0,0,1
02-B,02-D,0,8,0,0,2
02-B,02-C,0,18,0,0,3
02-C,02-D,0,6,0,0,1
02-C,02-A,0,7,0,0,2
02-C,02-B,1,18,1,10,3
02-D,02-C,0,6,0,0,1
02-D,02-B,0,8,0,0,2
02-D,02-A,0,16,0,0,3
03-A,03-A,1,5,1,6,1
03-A,03-A,0,12,0,0,2
03-A,03-B,1,15,1,5,3
03-B,03-A,1,5,1,33,1
03-B,03-D,1,9,1,9,2
03-B,03-C,0,14,0,0,3
03-C,03-D,1,1,1,22,1
03-C,03-A,1,12,1,14,2
03-C,03-B,0,14,0,0,3
03-D,03-C,1,1,1,12,1
03-D,03-B,1,9,2,33,2
03-D,03-A,1,15,1,2,3
04-A,04-B,0,23,0,0,1
04-A,04-C,1,35,1,3,2
04-A,04-D,0,43,0,0,3
04-B,04-A,0,23,0,0,1
04-B,04-D,1,42,2,40,2
04-B,04-C,0,51,0,0,3
04-C,04-D,0,21,0,0,1
04-C,04-A,0,35,0,0,2
04-C,04-B,0,51,0,0,3
04-D,04-C,0,21,0,0,1
04-D,04-B,0,42,0,0,2
04-D,04-A,0,43,0,0,3
05-A,05-B,0,20,0,0,1
05-A,05-C,0,39,0,0,2
05-A,05-D,0,45,0,0,3
05-B,05-A,0,20,0,0,1
05-B,05-D,0,34,0,0,2
05-B,05-C,0,53,0,0,3
05-C,05-D,0,27,0,0,1
05-C,05-A,0,39,0,0,2
05-C,05-B,1,53,0,0,3
05-D,05-C,0,27,0,0,1
05-D,05-B,0,34,0,0,2
05-D,05-A,1,45,1,14,3
06-A,06-B,1,22,1,5,1
06-A,06-C,0,37,0,0,2
06-A,06-D,0,44,0,0,3
06-B,06-A,0,22,0,0,1
06-B,06-D,0,41,0,0,2
06-B,06-C,1,50,1,5,3
06-C,06-D,0,29,0,0,1
06-C,06-A,0,37,0,0,2
06-C,06-B,0,50,0,0,3
06-D,06-C,0,29,0,0,1
06-D,06-B,0,41,0,0,2
06-D,06-A,0,44,0,0,3
07-A,07-B,0,30,0,0,1
07-A,07-C,0,38,0,0,2
07-A,07-D,0,46,0,0,3
07-B,07-A,1,30,1,19,1
07-B,07-D,1,33,1,43,2
07-B,07-C,0,48,0,0,3
07-C,07-D,1,24,2,46,1
07-C,07-A,1,38,1,4,2
07-C,07-B,0,48,0,0,3
07-D,07-C,0,24,0,0,1
07-D,07-B,0,33,0,0,2
07-D,07-A,1,46,1,25,3
08-A,08-B,1,28,1,24,1
08-A,08-C,0,31,0,0,2
08-A,08-D,0,54,0,0,3
08-B,08-A,0,28,0,0,1
08-B,08-D,0,32,0,0,2
08-B,08-C,1,54,1,18,3
08-C,08-D,1,25,1,6,1
08-C,08-A,0,31,0,0,2
08-C,08-B,0,54,0,0,3
08-D,08-C,0,25,0,0,1
08-D,08-B,0,32,0,0,2
08-D,08-A,1,52,1,1,3
09-A,09-B,0,19,0,0,1
09-A,09-C,1,40,1,20,2
09-A,09-D,0,49,0,0,3
09-B,09-A,0,19,0,0,1
09-B,09-D,0,36,0,0,2
09-B,09-C,1,47,2,44,3
09-C,09-D,1,26,1,17,1
09-C,09-A,0,40,0,0,2
09-C,09-B,0,47,0,0,3
09-D,09-C,0,26,0,0,1
09-D,09-B,0,36,0,0,2
09-D,09-A,0,49,0,0,3
10-A,10-B,0,72,0,0,1
10-A,10-C,0,87,0,0,2
10-A,10-D,0,115,0,0,3
10-B,10-A,1,72,1,3,1
10-B,10-D,0,92,0,0,2
10-B,10-C,0,103,0,0,3
10-C,10-D,0,58,0,0,1
10-C,10-A,1,87,2,11,2
10-C,10-B,0,103,0,0,3
10-D,10-C,0,58,0,0,1
10-D,10-B,0,92,0,0,2
10-D,10-A,1,115,2,43,3
11-A,11-B,0,74,0,0,1
11-A,11-C,1,83,2,8,2
11-A,11-D,0,110,0,0,3
11-B,11-A,0,74,0,0,1
11-B,11-D,0,93,0,0,2
11-B,11-C,1,119,5,17,3
