ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,#Bouts,Trials I,#I,TDur,AvDur,#E,TDurE,AvDurE,#Agg,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,I1,I2,I3,E1,E2,E3,I,E,IC,EC,,,,,,,,,,,,,,,,,,
01-A,1,01,A,15/11/2019,1,04/02/2020,14,18/02/2020,2,1,1,10,10.0,1,1.0,0.3,2,002,1,10,0,0,011,0,0,1,1,013,0,0,0,0,1,0,0,0,1,0,100,010,1,1,,,,,,,,,,,,,,,,,,
01-B,1,01,B,15/11/2019,2,04/02/2020,10,14/02/2020,2,1,1,12,12.0,1,10.0,3.3,2,002,0,0,1,10,010,1,12,0,0,017,0,0,0,0,0,1,0,1,0,0,010,100,1,1,,,,,,,,,,,,,,,,,,
01-C,1,01,C,15/11/2019,1,04/02/2020,10,14/02/2020,1,1,1,1,1.0,0,0.0,0.0,1,004,0,0,0,0,011,1,1,0,0,017,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
01-D,1,01,D,15/11/2019,1,11/02/2020,7,18/02/2020,1,0,0,0,0.0,1,12.0,4.0,1,004,0,0,0,0,010,0,0,1,12,013,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
02-A,1,02,A,15/11/2019,2,04/02/2020,10,14/02/2020,2,2,2,19,9.5,0,0.0,0.0,2,003,0,0,0,0,007,1,16,0,0,016,1,3,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
02-B,1,02,B,15/11/2019,2,04/02/2020,14,18/02/2020,1,0,0,0,0.0,1,10.0,3.3,1,003,0,0,0,0,008,0,0,0,0,018,0,0,1,10,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
02-C,1,02,C,15/11/2019,2,04/02/2020,10,14/02/2020,2,1,1,10,10.0,1,16.0,5.3,2,006,0,0,0,0,007,0,0,1,16,018,1,10,0,0,0,0,1,0,1,0,001,010,1,1,,,,,,,,,,,,,,,,,,
02-D,1,02,D,15/11/2019,1,11/02/2020,7,18/02/2020,1,0,0,0,0.0,1,3.0,1.0,1,006,0,0,0,0,008,0,0,0,0,016,0,0,1,3,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
03-A,1,03,A,15/11/2019,1,04/02/2020,10,14/02/2020,5,2,2,11,5.5,3,49.0,16.3,5,005,1,6,1,33,012,0,0,1,14,015,1,5,1,2,1,0,1,1,1,1,101,111,2,3,,,,,,,,,,,,,,,,,,
03-B,1,03,B,15/11/2019,2,04/02/2020,14,18/02/2020,5,2,2,42,21.0,3,39.0,13.0,5,005,1,33,1,6,009,1,9,2,33,014,0,0,0,0,1,1,0,1,1,0,110,110,2,2,,,,,,,,,,,,,,,,,,
