"","Cat","Obs"
"1",0,"EC"
"2",0,"EC"
"3",0,"EC"
"4",0,"EC"
"5",0,"EC"
"6",0,"EC"
"7",0,"EC"
"8",0,"EC"
"9",0,"EC"
"10",0,"EC"
"11",0,"EC"
"12",0,"EC"
"13",0,"EC"
"14",0,"EC"
"15",0,"EC"
"16",0,"EC"
"17",0,"EC"
"18",0,"EC"
"19",0,"EC"
"20",0,"EC"
"21",0,"EC"
"22",0,"EC"
"23",0,"EC"
"24",0,"EC"
"25",0,"EC"
"26",0,"EC"
"27",0,"EC"
"28",0,"EC"
"29",0,"EC"
"30",0,"EC"
"31",0,"EC"
"32",0,"EC"
"33",0,"EC"
"34",0,"EC"
"35",1,"EC"
"36",1,"EC"
"37",1,"EC"
"38",1,"EC"
"39",1,"EC"
"40",1,"EC"
"41",1,"EC"
"42",1,"EC"
"43",1,"EC"
"44",1,"EC"
"45",1,"EC"
"46",1,"EC"
"47",1,"EC"
"48",1,"EC"
"49",1,"EC"
"50",1,"EC"
"51",1,"EC"
"52",1,"EC"
"53",1,"EC"
"54",1,"EC"
"55",1,"EC"
"56",1,"EC"
"57",1,"EC"
"58",1,"EC"
"59",1,"EC"
"60",1,"EC"
"61",1,"EC"
"62",1,"EC"
"63",1,"EC"
"64",1,"EC"
"65",1,"EC"
"66",1,"EC"
"67",1,"EC"
"68",1,"EC"
"69",1,"EC"
"70",1,"EC"
"71",1,"EC"
"72",1,"EC"
"73",1,"EC"
"74",1,"EC"
"75",1,"EC"
"76",1,"EC"
"77",1,"EC"
"78",1,"EC"
"79",1,"EC"
"80",1,"EC"
"81",1,"EC"
"82",1,"EC"
"83",1,"EC"
"84",1,"EC"
"85",1,"EC"
"86",2,"EC"
"87",2,"EC"
"88",2,"EC"
"89",2,"EC"
"90",2,"EC"
"91",2,"EC"
"92",2,"EC"
"93",2,"EC"
"94",2,"EC"
"95",2,"EC"
"96",2,"EC"
"97",2,"EC"
"98",2,"EC"
"99",2,"EC"
"100",2,"EC"
"101",2,"EC"
"102",2,"EC"
"103",2,"EC"
"104",2,"EC"
"105",2,"EC"
"106",2,"EC"
"107",2,"EC"
"108",2,"EC"
"109",2,"EC"
"110",2,"EC"
"111",2,"EC"
"112",2,"EC"
"113",2,"EC"
"114",2,"EC"
"115",2,"EC"
"116",2,"EC"
"117",3,"EC"
"118",3,"EC"
"119",3,"EC"
"120",3,"EC"
"121",3,"EC"
"122",3,"EC"
"123",3,"EC"
"124",3,"EC"
"125",0,"Random"
"126",0,"Random"
"127",0,"Random"
"128",0,"Random"
"129",0,"Random"
"130",0,"Random"
"131",0,"Random"
"132",0,"Random"
"133",0,"Random"
"134",0,"Random"
"135",0,"Random"
"136",0,"Random"
"137",0,"Random"
"138",0,"Random"
"139",0,"Random"
"140",0,"Random"
"141",0,"Random"
"142",0,"Random"
"143",0,"Random"
"144",0,"Random"
"145",0,"Random"
"146",0,"Random"
"147",0,"Random"
"148",0,"Random"
"149",0,"Random"
"150",0,"Random"
"151",0,"Random"
"152",0,"Random"
"153",0,"Random"
"154",0,"Random"
"155",0,"Random"
"156",1,"Random"
"157",1,"Random"
"158",1,"Random"
"159",1,"Random"
"160",1,"Random"
"161",1,"Random"
"162",1,"Random"
"163",1,"Random"
"164",1,"Random"
"165",1,"Random"
"166",1,"Random"
"167",1,"Random"
"168",1,"Random"
"169",1,"Random"
"170",1,"Random"
"171",1,"Random"
"172",1,"Random"
"173",1,"Random"
"174",1,"Random"
"175",1,"Random"
"176",1,"Random"
"177",1,"Random"
"178",1,"Random"
"179",1,"Random"
"180",1,"Random"
"181",1,"Random"
"182",1,"Random"
"183",1,"Random"
"184",1,"Random"
"185",1,"Random"
"186",1,"Random"
"187",2,"Random"
"188",2,"Random"
"189",2,"Random"
"190",2,"Random"
"191",2,"Random"
"192",2,"Random"
"193",2,"Random"
"194",2,"Random"
"195",2,"Random"
"196",2,"Random"
"197",2,"Random"
"198",2,"Random"
"199",2,"Random"
"200",2,"Random"
"201",2,"Random"
"202",2,"Random"
"203",2,"Random"
"204",2,"Random"
"205",2,"Random"
"206",2,"Random"
"207",2,"Random"
"208",2,"Random"
"209",2,"Random"
"210",2,"Random"
"211",2,"Random"
"212",2,"Random"
"213",2,"Random"
"214",2,"Random"
"215",2,"Random"
"216",2,"Random"
"217",2,"Random"
"218",3,"Random"
"219",3,"Random"
"220",3,"Random"
"221",3,"Random"
"222",3,"Random"
"223",3,"Random"
"224",3,"Random"
"225",3,"Random"
"226",3,"Random"
"227",3,"Random"
"228",3,"Random"
"229",3,"Random"
"230",3,"Random"
"231",3,"Random"
"232",3,"Random"
"233",3,"Random"
"234",3,"Random"
"235",3,"Random"
"236",3,"Random"
"237",3,"Random"
"238",3,"Random"
"239",3,"Random"
"240",3,"Random"
"241",3,"Random"
"242",3,"Random"
"243",3,"Random"
"244",3,"Random"
"245",3,"Random"
"246",3,"Random"
"247",3,"Random"
"248",3,"Random"
