"","Cat","Obs"
"1",0,"IC"
"2",0,"IC"
"3",0,"IC"
"4",0,"IC"
"5",0,"IC"
"6",0,"IC"
"7",0,"IC"
"8",0,"IC"
"9",0,"IC"
"10",0,"IC"
"11",0,"IC"
"12",0,"IC"
"13",0,"IC"
"14",0,"IC"
"15",0,"IC"
"16",0,"IC"
"17",0,"IC"
"18",0,"IC"
"19",0,"IC"
"20",0,"IC"
"21",0,"IC"
"22",0,"IC"
"23",0,"IC"
"24",0,"IC"
"25",0,"IC"
"26",0,"IC"
"27",0,"IC"
"28",0,"IC"
"29",0,"IC"
"30",0,"IC"
"31",0,"IC"
"32",0,"IC"
"33",0,"IC"
"34",0,"IC"
"35",0,"IC"
"36",1,"IC"
"37",1,"IC"
"38",1,"IC"
"39",1,"IC"
"40",1,"IC"
"41",1,"IC"
"42",1,"IC"
"43",1,"IC"
"44",1,"IC"
"45",1,"IC"
"46",1,"IC"
"47",1,"IC"
"48",1,"IC"
"49",1,"IC"
"50",1,"IC"
"51",1,"IC"
"52",1,"IC"
"53",1,"IC"
"54",1,"IC"
"55",1,"IC"
"56",1,"IC"
"57",1,"IC"
"58",1,"IC"
"59",1,"IC"
"60",1,"IC"
"61",1,"IC"
"62",1,"IC"
"63",1,"IC"
"64",1,"IC"
"65",1,"IC"
"66",1,"IC"
"67",1,"IC"
"68",1,"IC"
"69",1,"IC"
"70",1,"IC"
"71",1,"IC"
"72",1,"IC"
"73",1,"IC"
"74",1,"IC"
"75",1,"IC"
"76",1,"IC"
"77",1,"IC"
"78",1,"IC"
"79",1,"IC"
"80",1,"IC"
"81",1,"IC"
"82",1,"IC"
"83",1,"IC"
"84",1,"IC"
"85",1,"IC"
"86",2,"IC"
"87",2,"IC"
"88",2,"IC"
"89",2,"IC"
"90",2,"IC"
"91",2,"IC"
"92",2,"IC"
"93",2,"IC"
"94",2,"IC"
"95",2,"IC"
"96",2,"IC"
"97",2,"IC"
"98",2,"IC"
"99",2,"IC"
"100",2,"IC"
"101",2,"IC"
"102",2,"IC"
"103",2,"IC"
"104",2,"IC"
"105",2,"IC"
"106",2,"IC"
"107",2,"IC"
"108",2,"IC"
"109",2,"IC"
"110",2,"IC"
"111",2,"IC"
"112",2,"IC"
"113",2,"IC"
"114",2,"IC"
"115",2,"IC"
"116",3,"IC"
"117",3,"IC"
"118",3,"IC"
"119",3,"IC"
"120",3,"IC"
"121",3,"IC"
"122",3,"IC"
"123",3,"IC"
"124",3,"IC"
"125",0,"Random"
"126",0,"Random"
"127",0,"Random"
"128",0,"Random"
"129",0,"Random"
"130",0,"Random"
"131",0,"Random"
"132",0,"Random"
"133",0,"Random"
"134",0,"Random"
"135",0,"Random"
"136",0,"Random"
"137",0,"Random"
"138",0,"Random"
"139",0,"Random"
"140",0,"Random"
"141",0,"Random"
"142",0,"Random"
"143",0,"Random"
"144",0,"Random"
"145",0,"Random"
"146",0,"Random"
"147",0,"Random"
"148",0,"Random"
"149",0,"Random"
"150",0,"Random"
"151",0,"Random"
"152",0,"Random"
"153",0,"Random"
"154",0,"Random"
"155",0,"Random"
"156",1,"Random"
"157",1,"Random"
"158",1,"Random"
"159",1,"Random"
"160",1,"Random"
"161",1,"Random"
"162",1,"Random"
"163",1,"Random"
"164",1,"Random"
"165",1,"Random"
"166",1,"Random"
"167",1,"Random"
"168",1,"Random"
"169",1,"Random"
"170",1,"Random"
"171",1,"Random"
"172",1,"Random"
"173",1,"Random"
"174",1,"Random"
"175",1,"Random"
"176",1,"Random"
"177",1,"Random"
"178",1,"Random"
"179",1,"Random"
"180",1,"Random"
"181",1,"Random"
"182",1,"Random"
"183",1,"Random"
"184",1,"Random"
"185",1,"Random"
"186",1,"Random"
"187",2,"Random"
"188",2,"Random"
"189",2,"Random"
"190",2,"Random"
"191",2,"Random"
"192",2,"Random"
"193",2,"Random"
"194",2,"Random"
"195",2,"Random"
"196",2,"Random"
"197",2,"Random"
"198",2,"Random"
"199",2,"Random"
"200",2,"Random"
"201",2,"Random"
"202",2,"Random"
"203",2,"Random"
"204",2,"Random"
"205",2,"Random"
"206",2,"Random"
"207",2,"Random"
"208",2,"Random"
"209",2,"Random"
"210",2,"Random"
"211",2,"Random"
"212",2,"Random"
"213",2,"Random"
"214",2,"Random"
"215",2,"Random"
"216",2,"Random"
"217",2,"Random"
"218",3,"Random"
"219",3,"Random"
"220",3,"Random"
"221",3,"Random"
"222",3,"Random"
"223",3,"Random"
"224",3,"Random"
"225",3,"Random"
"226",3,"Random"
"227",3,"Random"
"228",3,"Random"
"229",3,"Random"
"230",3,"Random"
"231",3,"Random"
"232",3,"Random"
"233",3,"Random"
"234",3,"Random"
"235",3,"Random"
"236",3,"Random"
"237",3,"Random"
"238",3,"Random"
"239",3,"Random"
"240",3,"Random"
"241",3,"Random"
"242",3,"Random"
"243",3,"Random"
"244",3,"Random"
"245",3,"Random"
"246",3,"Random"
"247",3,"Random"
"248",3,"Random"
