Cat,Obs
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
0,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
100,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
10,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
1,EO
110,EO
110,EO
110,EO
110,EO
110,EO
110,EO
110,EO
110,EO
110,EO
110,EO
101,EO
101,EO
101,EO
101,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
11,EO
111,EO
111,EO
111,EO
111,EO
111,EO
111,EO
111,EO
111,EO
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
0,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
1,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
10,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
100,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
11,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
101,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
110,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
111,Random
